"iso_code","location","date","people_fully_vaccinated_per_hundred","stringency_index","population","population_density","median_age","gdp_per_capita"
"OWID_AFR","Africa",2022-02-15,11.55,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-16,11.58,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-17,11.58,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-18,11.65,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-19,11.71,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-20,11.81,NA,1373486472,NA,NA,NA
"ALB","Albania",2021-11-22,NA,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-11-23,NA,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-11-24,33.11,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-11-25,33.19,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-11-26,NA,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-11-27,NA,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-11-28,33.4,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-11-29,NA,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-11-30,33.45,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-01,33.62,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-02,NA,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-03,33.83,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-04,NA,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-05,33.96,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-06,34.05,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-07,34.15,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-08,34.2,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-09,NA,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-10,NA,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-11,NA,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-12,34.54,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-13,34.65,45.37,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-14,34.75,48.15,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-15,34.85,48.15,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-16,NA,48.15,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-17,NA,48.15,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-18,35.1,48.15,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-19,NA,48.15,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-20,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-21,35.29,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-22,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-23,35.45,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-24,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-25,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-26,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-27,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-28,35.89,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-29,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-30,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2021-12-31,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-01,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-02,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-03,NA,46.3,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-04,36.53,43.52,2872934,104.871,38,11803.431
